,Base,Filtered,Webpreview,Combined Webpreview,Structural,Combined Structural
avg_coherence_scores,0.4595140194572657,0.4408995779447028,0.5374835507468834,0.46666171581739535,0.45381927618453183,0.4559306915039432
avg_silhouette_scores,0.14638398678420722,0.13992291057549328,-0.2134207493159828,0.1700830226556437,-0.150636564172353,-0.1501311625573659
avg_davies_bouldin_scores,2.1003440353729665,2.0596486664069658,3.2316045463213117,1.9320807557361526,4.249652228591443,4.29783325675871
avg_topic_counts,3.76,6.54,6.44,4.14,7.02,6.7
avg_noise_counts,11.0,54.42,57.7,19.32,87.0,81.62
